Zila_Name,Upazila_Name,Per_Rural_Pop,Pov_headcount_ratio,Per_Extreme_poverty_headcount_ratio,Per_Primary_employment_Agriculture,Per_Primary_employment_Industry,Per_Primary_employment_Service,Per_Lit_pop_18_years_and_older,Per_of_underweight _child,Per_of_stunted_child
SYLHET,GOWAINGHAT,98.1,52.6,46.5,68.1,18.2,13.8,28.2,42.6,49.2
HABIGANJ,HABIGANJ SADAR,67.4,16.9,12.2,44.1,9.2,46.7,49.6,36.0,41.4
SUNAMGANJ,JAGANNATHPUR,84.0,21.0,15.8,70.4,4.9,24.8,39.8,39.8,45.1
SYLHET,JAINTIAPUR,95.1,34.7,28.9,54.0,18.1,27.8,35.6,39.8,47.0
SUNAMGANJ,JAMALGANJ,94.2,24.6,19.4,80.9,5.2,13.9,29.1,41.1,46.2
MAULVIBAZAR,JURI,91.5,36.3,31.3,51.5,14.6,33.9,49.2,36.9,45.3
MAULVIBAZAR,KAMALGANJ,88.6,26.7,22.0,45.4,14.8,39.7,45.5,38.3,46.1
SYLHET,KANAIGHAT,90.0,45.8,39.7,63.1,12.5,24.3,39.9,39.7,44.8
MAULVIBAZAR,KULAURA,91.9,28.1,23.1,64.3,11.7,24.0,49.9,35.6,41.3
HABIGANJ,LAKHAI,88.2,25.2,20.0,69.1,4.7,26.2,31.9,42.9,46.6
HABIGANJ,MADHABPUR,92.0,25.9,20.7,58.2,11.3,30.5,38.4,39.9,45.9
MAULVIBAZAR,MAULVIBAZAR SADAR,83.9,16.7,12.7,39.2,8.9,51.9,54.4,35.4,42.7
HABIGANJ,NABIGANJ,91.0,26.8,21.5,61.7,9.2,29.1,40.6,39.1,44.5
MAULVIBAZAR,RAJNAGAR,94.1,22.3,18.0,56.9,14.4,28.7,46.7,37.3,43.1
MAULVIBAZAR,SREEMANGAL,87.7,29.3,24.7,48.9,10.0,41.1,45.3,36.8,44.3
SUNAMGANJ,SULLA,96.2,28.3,22.9,91.3,2.9,5.8,31.4,39.3,45.5
SUNAMGANJ,SUNAMGANJ SADAR,74.8,25.1,19.3,53.5,9.1,37.5,38.8,40.4,46.0
SYLHET,SYLHET SADAR,36.7,14.3,9.7,10.5,19.8,69.7,62.4,32.8,40.1
SUNAMGANJ,TAHIRPUR,95.9,31.2,25.3,75.5,3.4,21.1,28.0,41.7,48.8
SYLHET,ZAKIGANJ,91.4,39.0,32.9,49.3,6.8,43.9,46.5,37.5,46.1
